,Before,During,After,,After ,Before,,,Zipcodes
,Agree,Strongly Agree,Agree,,4,4,,,60647
,Strongly agree,Strongly Agree,Strongly agree,,4,3,,,60617
,Disagree,Disagree,Agree,,1,3,,,60602
,Agree,Neutral,Disagree,,1,2,,,60660
,Agree,Agree,Disagree,,2,2,,,60613
,Disagree,Disagree,Neutral,,4,5,,,60827
,Strongly agree,Agree,Strongly agree,,2,3,,,60622
,Disagree,Strongly Agree,Neutral,,2,3,,,60623
,Strongly disagree,Strongly Disagree,Agree,,3,4,,,60601
,Disagree,Disagree,Agree,,3,5,,,60615
,Disagree,Disagree,Disagree,,4,4,,,60626
,Neutral,Strongly Agree,Agree,,4,5,,,60642
,Neutral,Agree,Agree,,2,2,,,60619
,,,,,,,,,60602
,,,,,,,,,60647
,,,,,,,,,60639
,,,,,,,,,60608
,,,,,,,,,60647
,,,,,,,,,60612
,,,,,,,,,60653
,,,,,,,,,60644
,,,,,,,,,60625
,,,,,,,,,60657
,,,,,,,,,60629
,,,,,,,,,60625
,,,,,,,,,60652
,,,,,,,,,60602
,,,,,,,,,60608
,,,,,,,,,60640
,,,,,,,,,60609
,,,,,,,,,60629
,,,,,,,,,60645
,,,,,,,,,60628
,,,,,,,,,60620
,,,,,,,,,60624
,,,,,,,,,60608
,,,,,,,,,60620
,,,,,,,,,60601
,,,,,,,,,60651
,,,,,,,,,60657
,,,,,,,,,60647
,,,,,,,,,60647
,,,,,,,,,60623
,,,,,,,,,60608
,,,,,,,,,60612
,,,,,,,,,60617
,,,,,,,,,60618
,,,,,,,,,60661
,,,,,,,,,60601
,,,,,,,,,60622
,,,,,,,,,60622
,,,,,,,,,60643
,,,,,,,,,60609
,,,,,,,,,60612
,,,,,,,,,60602
,,,,,,,,,60605
,,,,,,,,,60629
,,,,,,,,,60659
,,,,,,,,,60637
,,,,,,,,,60652
,,,,,,,,,60620
,,,,,,,,,60618
,,,,,,,,,60638
,,,,,,,,,60628
,,,,,,,,,60614
,,,,,,,,,60624
,,,,,,,,,60632
,,,,,,,,,60629
,,,,,,,,,60640
,,,,,,,,,60622
,,,,,,,,,60649
,,,,,,,,,60628
,,,,,,,,,60625
,,,,,,,,,60638
,,,,,,,,,60659
,,,,,,,,,60640
,,,,,,,,,60608
,,,,,,,,,60621
,,,,,,,,,60655
,,,,,,,,,60651
,,,,,,,,,60629
,,,,,,,,,60626
,,,,,,,,,60617
,,,,,,,,,60652
,,,,,,,,,60647
,,,,,,,,,60623
,,,,,,,,,60637
,,,,,,,,,60640
,,,,,,,,,60622
,,,,,,,,,60628
,,,,,,,,,60612
,,,,,,,,,60647
,,,,,,,,,60609
,,,,,,,,,60601
,,,,,,,,,60601
,,,,,,,,,60622
,,,,,,,,,60628
,,,,,,,,,60618
,,,,,,,,,60645
,,,,,,,,,60618
,,,,,,,,,60611
,,,,,,,,,60621
,,,,,,,,,60623
,,,,,,,,,60630
,,,,,,,,,60617
,,,,,,,,,60640
,,,,,,,,,60638
,,,,,,,,,60613
,,,,,,,,,60651
,,,,,,,,,60639
,,,,,,,,,60651
,,,,,,,,,60629
,,,,,,,,,60636
,,,,,,,,,60619
,,,,,,,,,60632
,,,,,,,,,60616
,,,,,,,,,60619
,,,,,,,,,60623
,,,,,,,,,60652
,,,,,,,,,60647
,,,,,,,,,60617
,,,,,,,,,60613
,,,,,,,,,60619
,,,,,,,,,60608
,,,,,,,,,60634
,,,,,,,,,60631
,,,,,,,,,60612
,,,,,,,,,60653
,,,,,,,,,60615
,,,,,,,,,60612
,,,,,,,,,60614
,,,,,,,,,60656
,,,,,,,,,60620
,,,,,,,,,60623
,,,,,,,,,60624
,,,,,,,,,60623
,,,,,,,,,60603
,,,,,,,,,60707
,,,,,,,,,60621
,,,,,,,,,60641
,,,,,,,,,60629
,,,,,,,,,60604
,,,,,,,,,60619
,,,,,,,,,60613
,,,,,,,,,60640
,,,,,,,,,60618
,,,,,,,,,60622
,,,,,,,,,60651
,,,,,,,,,60640
,,,,,,,,,60607
,,,,,,,,,60619
,,,,,,,,,60607
,,,,,,,,,60617
,,,,,,,,,60660
,,,,,,,,,60620
,,,,,,,,,60649
,,,,,,,,,60644
,,,,,,,,,60656
,,,,,,,,,60608
,,,,,,,,,60657
,,,,,,,,,60616
,,,,,,,,,60612
,,,,,,,,,60617
,,,,,,,,,60620
,,,,,,,,,60644
,,,,,,,,,60641
,,,,,,,,,60638
,,,,,,,,,60622
,,,,,,,,,60634
,,,,,,,,,60628
,,,,,,,,,60602
,,,,,,,,,60644
,,,,,,,,,60628
,,,,,,,,,60633
,,,,,,,,,60617
,,,,,,,,,60651
,,,,,,,,,60615
,,,,,,,,,60613
,,,,,,,,,60612
,,,,,,,,,60618
,,,,,,,,,60612
,,,,,,,,,60607
,,,,,,,,,60608
,,,,,,,,,60616
,,,,,,,,,60605
,,,,,,,,,60620
,,,,,,,,,60618
,,,,,,,,,60601
,,,,,,,,,60628
,,,,,,,,,60609
,,,,,,,,,60608
,,,,,,,,,60623
,,,,,,,,,60657
,,,,,,,,,60623
,,,,,,,,,60637
,,,,,,,,,60609
,,,,,,,,,60639
,,,,,,,,,60640
,,,,,,,,,60653
,,,,,,,,,60632
,,,,,,,,,60643
,,,,,,,,,60640
,,,,,,,,,60632
,,,,,,,,,60632
,,,,,,,,,60630
,,,,,,,,,60661
,,,,,,,,,60605
,,,,,,,,,60602
,,,,,,,,,60646
,,,,,,,,,60629
,,,,,,,,,60640
,,,,,,,,,60642
,,,,,,,,,60641
,,,,,,,,,60626
,,,,,,,,,60623
,,,,,,,,,60651
,,,,,,,,,60601
,,,,,,,,,60616
,,,,,,,,,60657
,,,,,,,,,60651
,,,,,,,,,60641
,,,,,,,,,60637
,,,,,,,,,60634
,,,,,,,,,60616
,,,,,,,,,60643
,,,,,,,,,60653
,,,,,,,,,60620
,,,,,,,,,60609
,,,,,,,,,60641
,,,,,,,,,60615
,,,,,,,,,60632
,,,,,,,,,60610
,,,,,,,,,60634
,,,,,,,,,60621
,,,,,,,,,60618
,,,,,,,,,60603
,,,,,,,,,60624
,,,,,,,,,60659
,,,,,,,,,60623
,,,,,,,,,60619
,,,,,,,,,60620
,,,,,,,,,60651
,,,,,,,,,60621
,,,,,,,,,60634
,,,,,,,,,60623
,,,,,,,,,60626
,,,,,,,,,60625
,,,,,,,,,60632
,,,,,,,,,60620
,,,,,,,,,60639